id	Group	ID	PRC	light	coxL	pdo	sox
LSUCC0246	CHUG members	GNM356	1	1	1	1	1
LSUCC0387	CHUG members	GNM4440	1	1	1	1	1
HKCCD6035	CHUG members	GNM3890	1	1	0	1	1
FZCC0069	CHUG members	GNM1670	1	1	0	1	1
LSUCC1028	CHUG members	GNM358	1	1	0	1	1
FZCC0188	CHUG members	GNM1683	1	1	0	1	1
HKCCA1288	CHUG members	GNM3434	1	1	1	1	1
HKCCA1065	CHUG members	GNM50571	1	1	1	1	1
LSUCC0031	sister group	GNM225	0	1	0	1	1
Roseicyclus_mahoneyensis_DSM_16097	sister group	GNM565	0	1	1	1	1
Roseibacterium_elongatum_DFL-43	sister group	GNM1107	0	1	0	1	1
Jannaschia sp. CCS1	sister group	GNM746	0	1	1	0	0
Jannaschia_sp_EhC01	sister group	GNM747	0	1	1	1	1
Nioella_nitratireducens_SSW136	outgroup	GNM1382	0	0	0	1	1
Nioella_sediminis_JS7-11	outgroup	GNM1383	0	0	1	1	1
Jannaschia_aquimarina_DSM_28248	outgroup	GNM425	0	1	0	0	0
Jannaschia_pohangensis_DSM_19073	outgroup	GNM742	0	1	0	1	0
Thalassobacter_stenotrophicus_DSM_16310	outgroup	GNM1232	0	1	1	1	1
Dinoroseobacter shibae DFL12	outgroup	GNM694	0	1	1	1	1
Rhodobacterales bacterium HTCC2083	PRC members	GNM1024	1	1	0	0	1
Rhodobacterales bacterium HTCC2150	PRC members	GNM1025	1	0	1	1	1
Rhodobacteraceae bacterium SB2	PRC members	GNM1031	1	1	1	1	1
Rhodobacteraceae_bacterium_HIMB11	PRC members	GNM1017	1	1	1	0	1
Planktomarina temperata RCA23	PRC members	GNM962	1	1	0	1	1
Roseobacter sp. LE17	PRC members	GNM575	1	1	0	1	1
HTCC2255	PRC members	GNM1055	1	1	0	0	1
Phaeobacter caeruleus DSM24564	other Roseobacter	GNM1363	0	0	0	0	1
Phaeobacter sp. Y4I	other Roseobacter	GNM1059	0	0	0	0	1
Phaeobacter gallaeciensis ANG1	other Roseobacter	GNM774	0	0	0	0	0
Leisingera methylohalidivorans MB2	other Roseobacter	GNM773	0	0	0	0	1
Leisingera aquimarina R-26159	other Roseobacter	GNM1362	0	0	0	0	1
Phaeobacter arcticus 20188	other Roseobacter	GNM1427	0	0	1	0	1
Roseobacter sp. MED193	other Roseobacter	GNM1126	0	0	1	0	1
Roseobacter sp. SK209-2-6	other Roseobacter	GNM1130	0	0	1	0	0
Ruegeria sp. TrichCH4B	other Roseobacter	GNM1187	0	0	0	1	0
Ruegeria sp. TM1040	other Roseobacter	GNM1177	0	0	0	0	0
Phaeobacter gallaeciensis BS107	other Roseobacter	GNM495	0	0	1	0	1
Phaeobacter gallaeciensis 2.10	other Roseobacter	GNM926	0	0	0	0	1
Ruegeria sp. R11	other Roseobacter	GNM1176	0	0	0	0	1
Rhodobacterales bacterium KLH11	other Roseobacter	GNM1026	0	0	1	0	0
Ruegeria sp. TW15	other Roseobacter	GNM594	0	0	1	0	0
Ruegeria lacuscaerulensis ITI-1157	other Roseobacter	GNM1186	0	0	1	1	1
Ruegeria pomeroyi DSS-3	other Roseobacter	GNM1170	0	0	1	1	1
Leisingera nanhaiensis NH52F	other Roseobacter	GNM1546	0	0	0	1	1
Sulfitobacter sp. EE36	other Roseobacter	GNM1213	0	0	0	0	1
Roseobacter sp. GAI101	other Roseobacter	GNM1125	0	0	1	1	1
Oceanibulbus indolifex HEL45	other Roseobacter	GNM848	0	0	0	0	1
Roseobacter litoralis Och149	other Roseobacter	GNM1121	0	1	1	1	1
