user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
SH_ER_061016_Refined_9	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae;g__Pleurocapsa;s__	N/A	N/A	N/A	N/A	N/A	GCF_003003995.1	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae;g__Pleurocapsa;s__Pleurocapsa sp003003995	77.61	0.38	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae;g__Pleurocapsa;s__	Placement	taxonomic classification fully defined by topology	GCF_000332195.1, s__Pleurocapsa sp000332195, 95.0, 77.57, 0.34; GCF_002368355.1, s__Pleurocapsa sp002368355, 95.0, 77.3, 0.22	53.65	11	0.969247512	N/A
BI_ER_070217_Refined_18	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae;g__Pleurocapsa;s__	N/A	N/A	N/A	N/A	N/A	GCF_003003995.1	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae;g__Pleurocapsa;s__Pleurocapsa sp003003995	77.95	0.34	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae;g__Pleurocapsa;s__	Placement	taxonomic classification fully defined by topology	GCF_000332195.1, s__Pleurocapsa sp000332195, 95.0, 77.58, 0.33; GCF_002368355.1, s__Pleurocapsa sp002368355, 95.0, 77.29, 0.23	90.56	11	0.969078377528	N/A
BI_ER_070616_Refined_38	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	58.08	11	0.774020624695	N/A
BH_ER_050617_Refined_76	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	79.31	11	0.77378331586	N/A
SH_ER_070217_Refined_17	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	90.2	11	0.773457001695	N/A
SH_ER_050617_Refined_16	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	73.08	11	0.773124686805	N/A
SH_ER_050417_Refined_20	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	93.1	11	0.772882937908	N/A
SH_ER_161216_Refined_5	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	82.86	11	0.772773230474	N/A
BH_ER_110816_Refined_46	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	88.95	11	0.772420616401	N/A
BH_ER_110816_Refined_10	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	85.48	11	0.772417082756	N/A
